,x
126_s_at,4.760852236
36409_f_at,4.086523417
33483_at,4.040649379
35920_at,3.818019667
41024_f_at,3.516404913
36477_at,3.503142279
33364_at,3.342310651
35097_at,3.237216038
40062_s_at,3.141267894
34412_s_at,3.107725908
32997_at,3.095953381
38225_at,2.98180242
137_at,2.967894192
37018_at,2.954833584
33970_at,2.940323171
38906_at,2.918641326
34343_at,2.917525826
32089_at,2.905046512
33655_f_at,2.761344064
31497_at,2.758728142
32184_at,2.756985629
37179_at,2.70634657
160029_at,2.641570598
38715_at,2.600009365
37221_at,2.563336644
31953_f_at,2.52918604
35950_at,2.519470667
34068_f_at,2.454151912
36347_f_at,2.429064092
36787_at,2.427532336
32207_at,2.423038791
32663_at,2.417482824
36757_at,2.372459829
37667_at,2.347301501
40916_at,2.342595741
34964_at,2.326533786
36269_at,2.321349798
157_at,2.319507667
1217_g_at,2.31458947
31498_f_at,2.275929499
39971_at,2.247111239
31954_f_at,2.24125779
285_g_at,2.236774664
34308_at,2.206506442
153_f_at,2.199102898
AFFX-M27830_5_at,2.187381168
31692_at,2.172990244
35127_at,2.172176624
31960_f_at,2.149713322
32227_at,2.12396795
37002_at,2.119707459
36040_at,2.113090557
38841_at,2.10700775
39179_at,2.096800623
35921_at,2.095086838
33680_f_at,2.088819603
33671_f_at,2.072932564
41026_f_at,2.071170917
37194_at,2.06590939
37649_at,2.058936696
AFFX-HUMRGE/M10098_M_at,2.044009217
33654_at,2.029629932
31522_f_at,2.028194295
560_s_at,2.027313223
39550_at,2.021659717
36671_at,2.015402524
1336_s_at,2.00542231
35576_f_at,2.00337252
576_at,1.993548577
31525_s_at,1.982672906
34210_at,1.980152056
37065_f_at,1.963578437
38973_at,1.962542962
AFFX-HUMRGE/M10098_5_at,1.960578128
39616_at,1.959842644
33516_at,1.928264504
39610_at,1.910723217
41025_r_at,1.904051643
31881_at,1.89680542
506_s_at,1.88662366
40320_at,1.88273867
31462_f_at,1.873048685
32163_f_at,1.867661305
38714_at,1.865411389
675_at,1.856388746
32962_at,1.84009064
35804_at,1.822655695
40013_at,1.818042998
1779_s_at,1.815628396
1500_at,1.808042741
31523_f_at,1.794371582
32819_at,1.785478804
41408_at,1.772491266
31797_at,1.771805966
37497_at,1.763315063
35644_at,1.760270128
37458_at,1.760006598
40647_at,1.740558139
32745_at,1.721835321
32980_f_at,1.721745595
40314_at,1.720499592
33796_at,1.719849721
36113_s_at,1.704394461
39158_at,1.693965163
35502_at,1.692926151
31528_f_at,1.689693539
36036_at,1.672427596
38197_at,1.669488802
284_at,1.662265386
32616_at,1.648602413
37737_at,1.647483308
40586_at,1.63432524
1104_s_at,1.622067319
38213_at,1.621504283
223_at,1.599570761
1211_s_at,1.594764687
32249_at,1.591333841
39373_at,1.587978183
31768_at,1.582537599
38943_at,1.576350175
38119_at,1.574136139
33517_f_at,1.573659475
37960_at,1.561942494
38474_at,1.55857718
40413_at,1.555429827
38453_at,1.55274093
37170_at,1.54977743
811_at,1.548601882
34359_at,1.532258758
34190_at,1.527518006
33518_f_at,1.527330242
36039_s_at,1.5206414
35348_at,1.504018957
37530_s_at,1.502886308
31599_f_at,1.479812947
32451_at,1.475083535
38454_g_at,1.471419311
AFFX-HUMRGE/M10098_3_at,1.467775881
40768_s_at,1.466334998
1842_at,1.465658926
33791_at,1.46261352
39372_at,1.460150019
40578_s_at,1.458133738
40536_f_at,1.449621839
37688_f_at,1.447993649
35330_at,1.441679796
31480_f_at,1.439455289
809_at,1.435822934
40789_at,1.428423936
37632_s_at,1.424353631
37384_at,1.419527504
31836_at,1.418922953
41342_at,1.414433117
33767_at,1.412417344
31896_at,1.406400684
39825_at,1.404811771
35710_s_at,1.398603075
39605_at,1.395048771
36191_at,1.391181172
38352_at,1.390145544
38640_at,1.383148016
38994_at,1.36974486
